1700026D08Rik,-5.49E+00,-6.12E+00
1700026D11Rik,-6.18E+00,-5.40E+00
1700026L06Rik,1.26E+00,1.77E+00
1700027A15Rik,-5.89E-01,-3.63E-01
1700028D13Rik,-4.85E+00,-5.07E+00
1700028E10Rik,-2.68E+00,-2.86E+00
1700028I16Rik,-5.72E+00,-5.81E+00
1700028J19Rik,-1.63E+00,-2.30E+00
1700028K03Rik,-2.41E+00,-1.43E+00
1700028P14Rik,2.27E-02,7.26E-02
1700029I15Rik,-1.09E+00,-1.39E+00
1700029J07Rik,-1.50E+00,-9.83E-01
1700029P11Rik,-5.53E+00,-5.71E+00
1700030C10Rik,2.16E+00,1.91E+00
1700030J22Rik,9.18E-01,1.03E+00
1700030K09Rik,6.00E-01,6.31E-01
1700031F05Rik,-5.41E-01,-1.63E-01
1700034F02Rik,-2.74E+00,-3.13E+00
1700034H15Rik,-2.66E+00,-2.33E+00
1700034K08Rik,-3.61E+00,-3.17E+00
1700034P13Rik,2.15E+00,1.61E+00
1700037C18Rik,1.68E+00,1.87E+00
1700037H04Rik,3.32E+00,3.60E+00
1700039E15Rik,-4.72E+00,-3.82E+00
1700040L02Rik,-8.49E-01,-1.07E+00
1700041C23Rik,-3.52E+00,-4.67E+00
1700042G07Rik,-7.76E-01,8.26E-02
1700045I19Rik,1.44E+00,-6.02E+00
1700047E10Rik,5.20E-01,5.46E-01
1700047M11Rik,-3.58E+00,-2.96E+00
1700048M11Rik,-5.12E+00,-2.60E+00
1700048O20Rik,-2.49E+00,-3.28E+00
1700049G17Rik,-3.28E+00,-3.77E+00
1700051A21Rik,-7.02E+00,-6.22E+00
1700052K11Rik,2.73E+00,2.87E+00
1700052N19Rik,2.24E+00,2.25E+00
1700055N04Rik,-6.21E+00,-6.88E+00
1700056E22Rik,-9.32E-01,-6.12E-01
1700058G18Rik,-4.46E+00,-5.15E+00
1700061G19Rik,-8.12E+00,-6.58E+00
1700063D05Rik,5.16E-01,5.03E-01
1700066B19Rik,-4.08E+00,-4.22E+00
1700066J24Rik,2.75E+00,2.96E+00
1700066M21Rik,-1.94E-01,-6.95E-02
1700067K01Rik,-2.55E+00,-2.50E+00
1700069L16Rik,-4.28E+00,-2.70E+00
1700071M16Rik,4.24E+00,4.40E+00
1700073E17Rik,-8.02E+00,-8.13E+00
1700084E18Rik,-1.99E+00,-1.44E+00
1700086L19Rik,3.28E+00,3.39E+00
1700086O06Rik,1.42E-01,8.74E-01
1700088E04Rik,3.90E+00,4.06E+00
1700091H14Rik,-2.66E+00,-2.56E+00
1700092M07Rik,-6.93E-01,-2.07E-01
1700093K21Rik,-3.56E+00,-5.71E+00
1700094D03Rik,-1.59E+00,-1.07E+00
1700094J05Rik,1.85E-03,-6.98E-02
1700095B10Rik,-4.90E+00,-3.46E+00
1700096J18Rik,-2.96E+00,-2.21E+00
1700096K18Rik,-4.36E-02,-1.04E-01
1700097N02Rik,-5.31E+00,-3.55E+00
1700101E01Rik,-2.50E+00,-2.10E+00
1700101I11Rik,-1.68E+00,-8.35E-01
1700102H20Rik,-7.68E-01,-3.12E+00
1700102P08Rik,-4.12E+00,-5.88E+00
1700105P06Rik,-2.84E+00,-1.04E+00
1700108F19Rik,-2.20E+00,-2.97E+00
1700109G14Rik,-5.20E+00,-4.70E+00
1700109H08Rik,-3.95E+00,-3.71E+00
1700110C19Rik,-6.01E+00,-6.09E+00
1700110K17Rik,1.65E-01,-5.96E-02
1700111N16Rik,-6.71E+00,-4.93E+00
1700112E06Rik,-1.79E+00,-1.82E+00
